City,State,Population
Murray city, Utah,"50,637"
Fort Pierce city, Florida,"47,575"
Harrisburg city, Pennsylvania,"50,080"
Downers Grove village, Illinois,"50,276"
Enid city, Oklahoma,"51,282"
Aliso Viejo city, California,"52,173"
Coral Gables city, Florida,"49,242"
Goose Creek city, South Carolina,"45,972"
Cleveland city, Tennessee,"47,799"
Sherman city, Texas,"43,671"
Draper city, Utah,"51,025"
Stillwater city, Oklahoma,"48,380"
Glendora city, California,"52,580"
Portage city, Michigan,"48,876"
St. Louis Park city, Minnesota,"50,010"
Titusville city, Florida,"48,797"
Barnstable Town city, Massachusetts,"48,914"
Leesburg town, Virginia,"48,307"
Lawrence city, Indiana,"49,374"
San Luis Obispo city, California,"47,106"
Sheboygan city, Wisconsin,"49,938"
Cedar Hill city, Texas,"49,151"
Rosemead city, California,"51,178"
Lakewood city, Ohio,"50,940"
Huntsville city, Texas,"45,823"
Chesterfield city, Missouri,"49,992"
Dublin city, Ohio,"49,315"
Poway city, California,"48,833"
Cypress city, California,"50,148"
Ceres city, California,"49,715"
Covina city, California,"51,270"
East Lansing city, Michigan,"48,083"
Plainfield village, Illinois,"44,901"
Oro Valley town, Arizona,"47,072"
Columbia city, Tennessee,"41,615"
Wauwatosa city, Wisconsin,"48,383"
Winter Garden city, Florida,"47,400"
Bedford city, Texas,"49,949"
Los Banos city, California,"45,566"
Holly Springs town, North Carolina,"41,264"
Wentzville city, Missouri,"44,932"
Waxahachie city, Texas,"41,127"
Middletown city, Connecticut,"47,727"
Wilson city, North Carolina,"48,456"
Hattiesburg city, Mississippi,"48,738"
Euclid city, Ohio,"49,689"
Shakopee city, Minnesota,"43,710"
Azusa city, California,"50,349"
Prescott city, Arizona,"45,903"
Biloxi city, Mississippi,"49,442"
Beavercreek city, Ohio,"46,562"
East Providence city, Rhode Island,"47,130"
Brea city, California,"47,300"
Spanish Fork city, Utah,"42,621"
Urbandale city, Iowa,"45,577"
Gainesville city, Georgia,"41,976"
Glenview village, Illinois,"48,721"
Mansfield city, Ohio,"47,530"
Niagara Falls city, New York,"48,668"
Minot city, North Dakota,"48,386"
Olive Branch city, Mississippi,"46,395"
Altamonte Springs city, Florida,"46,254"
Roswell city, New Mexico,"48,448"
Sayreville borough, New Jersey,"45,337"
Oakley city, California,"43,354"
Mentor city, Ohio,"47,442"
Attleboro city, Massachusetts,"46,471"
Roseville city, Michigan,"47,713"
Cerritos city, California,"49,566"
Binghamton city, New York,"47,945"
Riverton city, Utah,"45,290"
Keller city, Texas,"45,764"
Hackensack city, New Jersey,"46,032"
Monroe city, Louisiana,"47,706"
Delaware city, Ohio,"41,327"
Charleston city, West Virginia,"48,810"
Mankato city, Minnesota,"44,575"
La Mirada city, California,"48,682"
Rancho Santa Margarita city, California,"47,960"
West Lafayette city, Indiana,"44,503"
North Lauderdale city, Florida,"44,790"
Fuquay-Varina town, North Carolina,"34,265"
Greer city, South Carolina,"35,378"
Farmington city, New Mexico,"46,608"
Newark city, California,"47,524"
Salina city, Kansas,"46,878"
Elmhurst city, Illinois,"45,784"
Morgan Hill city, California,"45,479"
The Colony city, Texas,"44,534"
Cutler Bay town, Florida,"45,427"
Post Falls city, Idaho,"38,605"
Haltom City city, Texas,"46,083"
Oakland Park city, Florida,"44,321"
Strongsville city, Ohio,"46,487"
Moorhead city, Minnesota,"44,511"
Salem city, Massachusetts,"44,474"
North Miami Beach city, Florida,"43,669"
DeLand city, Florida,"37,791"
Newnan city, Georgia,"42,518"
Brentwood city, Tennessee,"45,384"
Palm Springs city, California,"44,575"
Blacksburg town, Virginia,"44,834"
Linden city, New Jersey,"43,746"
Bremerton city, Washington,"43,506"
York city, Pennsylvania,"44,793"
Greenacres city, Florida,"44,016"
Coachella city, California,"41,938"
Fairfield city, Ohio,"44,898"
Hickory city, North Carolina,"43,601"
Hollister city, California,"41,683"
Bountiful city, Utah,"45,773"
Huntington city, West Virginia,"46,841"
Rohnert Park city, California,"44,403"
Littleton city, Colorado,"45,665"
Charlottesville city, Virginia,"46,513"
Sierra Vista city, Arizona,"45,322"
Concord city, New Hampshire,"43,996"
Wilkes-Barre city, Pennsylvania,"44,349"
Ormond Beach city, Florida,"43,073"
Woonsocket city, Rhode Island,"43,224"
Prosper town, Texas,"30,166"
Lombard village, Illinois,"44,509"
Fond du Lac city, Wisconsin,"44,694"
Burlington city, Vermont,"44,743"
Schertz city, Texas,"42,024"
Lake Worth Beach city, Florida,"42,202"
Apache Junction city, Arizona,"38,515"
El Centro city, California,"44,536"
Leominster city, Massachusetts,"43,792"
Midlothian city, Texas,"35,134"
Mount Juliet city, Tennessee,"39,312"
Cleveland Heights city, Ohio,"45,314"
Freeport village, New York,"44,472"
Grove City city, Ohio,"41,248"
Hagerstown city, Maryland,"43,546"
Woburn city, Massachusetts,"40,881"
Indian Trail town, North Carolina,"40,091"
Weslaco city, Texas,"40,195"
Kiryas Joel village, New York,"32,960"
Manassas city, Virginia,"42,773"
Lompoc city, California,"44,444"
Huber Heights city, Ohio,"43,429"
Brighton city, Colorado,"40,072"
Danville town, California,"43,575"
Bullhead City city, Arizona,"41,352"
Beverly city, Massachusetts,"42,674"
Alexandria city, Louisiana,"45,262"
Pittsfield city, Massachusetts,"43,959"
Buffalo Grove village, Illinois,"43,199"
Plant City city, Florida,"39,852"
Hallandale Beach city, Florida,"41,210"
Saginaw city, Michigan,"44,207"
Sumter city, South Carolina,"43,488"
Reynoldsburg city, Ohio,"41,083"
Campbell city, California,"43,957"
Edmonds city, Washington,"42,853"
Owasso city, Oklahoma,"38,313"
Shelton city, Connecticut,"40,880"
Midland city, Michigan,"42,664"
Cottage Grove city, Minnesota,"38,835"
Altoona city, Pennsylvania,"43,951"
Florence city, Alabama,"40,178"
Hutto city, Texas,"27,586"
Peachtree Corners city, Georgia,"42,265"
Rosenberg city, Texas,"38,252"
Jefferson City city, Missouri,"43,237"
Puyallup city, Washington,"42,977"
Marion city, Iowa,"41,552"
Moline city, Illinois,"42,983"
Marlborough city, Massachusetts,"41,800"
Fitchburg city, Massachusetts,"41,948"
Haines City city, Florida,"27,540"
San Bruno city, California,"43,891"
Danville city, Virginia,"42,586"
Royal Palm Beach village, Florida,"39,441"
Oviedo city, Florida,"40,059"
Coppell city, Texas,"42,982"
Windsor town, Colorado,"32,722"
Lancaster city, Ohio,"40,535"
Covington city, Kentucky,"40,953"
Lynnwood city, Washington,"38,571"
Crystal Lake city, Illinois,"40,264"
Milton city, Georgia,"41,291"
La Vergne city, Tennessee,"38,709"
Cedar Falls city, Iowa,"40,728"
Lake Stevens city, Washington,"38,930"
American Fork city, Utah,"33,378"
Friendswood city, Texas,"41,065"
Brookfield city, Wisconsin,"41,465"
State College borough, Pennsylvania,"40,787"
Stanton city, California,"37,949"
Romeoville village, Illinois,"40,803"
Hobbs city, New Mexico,"40,523"
West Fargo city, North Dakota,"38,636"
Amherst Town city, Massachusetts,"39,264"
Florence city, South Carolina,"40,109"
Tooele city, Utah,"35,744"
Cedar City city, Utah,"35,248"
Kearny town, New Jersey,"42,004"
Lathrop city, California,"28,730"
Cape Girardeau city, Missouri,"39,556"
Lancaster city, Texas,"41,281"
Peachtree City city, Georgia,"38,255"
Bartlett village, Illinois,"41,126"
Menomonee Falls village, Wisconsin,"38,522"
Rexburg city, Idaho,"39,790"
Annapolis city, Maryland,"40,799"
Fort Lee borough, New Jersey,"40,172"
Belleville city, Illinois,"42,386"
Douglasville city, Georgia,"34,652"
Myrtle Beach city, South Carolina,"35,696"
Aventura city, Florida,"40,234"
Georgetown city, Kentucky,"37,551"
DeKalb city, Illinois,"40,304"
Westfield city, Massachusetts,"40,824"
Findlay city, Ohio,"40,297"
New Berlin city, Wisconsin,"40,449"
Bettendorf city, Iowa,"39,101"
Wausau city, Wisconsin,"40,034"
Chelsea city, Massachusetts,"40,746"
Valley Stream village, New York,"40,637"
Dover city, Delaware,"39,498"
Maplewood city, Minnesota,"42,086"
Prattville city, Alabama,"37,731"
Germantown city, Tennessee,"41,335"
San Luis city, Arizona,"35,467"
Rancho Palos Verdes city, California,"42,279"
Monroe city, North Carolina,"34,626"
Lake Oswego city, Oregon,"40,845"
Norwich city, Connecticut,"40,126"
La Quinta city, California,"37,647"
Culver City city, California,"40,820"
Urbana city, Illinois,"38,988"
Winter Springs city, Florida,"38,357"
Parkland city, Florida,"34,673"
Issaquah city, Washington,"40,073"
Copperas Cove city, Texas,"36,668"
Riviera Beach city, Florida,"37,592"
Spartanburg city, South Carolina,"38,727"
Richmond city, Kentucky,"35,150"
Hutchinson city, Kansas,"40,018"
Carol Stream village, Illinois,"39,851"
Hurst city, Texas,"40,417"
Grants Pass city, Oregon,"39,191"
Kearns metro township, Utah,"36,722"
Weatherford city, Texas,"30,902"
Woodstock city, Georgia,"35,095"
Garner town, North Carolina,"31,383"
Sun Prairie city, Wisconsin,"35,972"
Duncanville city, Texas,"40,707"
Keizer city, Oregon,"39,363"
Braintree Town city, Massachusetts,"39,146"
Syracuse city, Utah,"32,140"
Atlantic City city, New Jersey,"38,489"
Hilliard city, Ohio,"37,168"
Seguin city, Texas,"29,447"
Quincy city, Illinois,"39,637"
Pine Bluff city, Arkansas,"41,255"
Oswego village, Illinois,"34,623"
Lincoln Park city, Michigan,"40,258"
Lewiston city, Maine,"37,124"
Rome city, Georgia,"37,929"
Calexico city, California,"38,616"
Roy city, Utah,"39,305"
Warren city, Ohio,"39,248"
Socorro city, Texas,"34,301"
Westerville city, Ohio,"39,192"
Erie town, Colorado,"30,053"
Portage city, Indiana,"37,933"
Forney city, Texas,"23,493"
Phenix City city, Alabama,"38,817"
Park Ridge city, Illinois,"39,645"
Estero village, Florida,"36,948"
Oak Creek city, Wisconsin,"36,507"
Streamwood village, Illinois,"39,597"
Bartlesville city, Oklahoma,"37,281"
Wheeling village, Illinois,"39,186"
Oregon City city, Oregon,"37,585"
Longview city, Washington,"37,819"
Northglenn city, Colorado,"38,111"
East Point city, Georgia,"38,362"
Hilton Head Island town, South Carolina,"37,662"
Vestavia Hills city, Alabama,"39,160"
Cleburne city, Texas,"31,287"
Pleasant Grove city, Utah,"37,715"
Benton city, Arkansas,"35,020"
Canton city, Georgia,"32,946"
La Porte city, Texas,"35,128"
Hot Springs city, Arkansas,"37,898"
Adelanto city, California,"38,035"
San Gabriel city, California,"39,578"
Holyoke city, Massachusetts,"38,248"
Cibolo city, Texas,"32,262"
Leesburg city, Florida,"27,011"
Plainfield town, Indiana,"34,649"
Monrovia city, California,"37,934"
Tupelo city, Mississippi,"37,919"
Kennesaw city, Georgia,"33,236"
Wildomar city, California,"36,889"
New Albany city, Indiana,"37,819"
Montclair city, California,"37,890"
Redmond city, Oregon,"33,288"
Bell Gardens city, California,"39,513"
Clovis city, New Mexico,"38,553"
North Ridgeville city, Ohio,"35,281"
Sahuarita town, Arizona,"34,100"
Leavenworth city, Kansas,"37,350"
Farmers Branch city, Texas,"35,572"
San Juan city, Texas,"35,325"
Lauderdale Lakes city, Florida,"35,960"
Muskegon city, Michigan,"37,228"
Greenfield city, Wisconsin,"37,788"
Tucker city, Georgia,"37,119"
Carpentersville village, Illinois,"37,988"
Cookeville city, Tennessee,"34,825"
Pacifica city, California,"38,661"
Panama City city, Florida,"33,047"
Princeton city, Texas,"17,065"
Martinez city, California,"37,268"
Merrillville town, Indiana,"36,444"
Muskogee city, Oklahoma,"36,846"
Hanover Park village, Illinois,"37,463"
La Puente city, California,"38,061"
Beloit city, Wisconsin,"36,689"
Franklin city, Wisconsin,"36,142"
Hinesville city, Georgia,"34,892"
Salisbury city, North Carolina,"35,539"
Richfield city, Minnesota,"37,002"
Fair Lawn borough, New Jersey,"34,930"
El Mirage city, Arizona,"35,799"
Rock Island city, Illinois,"37,103"
Fort Mill town, South Carolina,"24,529"
Inver Grove Heights city, Minnesota,"35,813"
Midvale city, Utah,"36,024"
Bluffton town, South Carolina,"27,703"
Upper Arlington city, Ohio,"36,793"
Claremont city, California,"37,494"
Norristown borough, Pennsylvania,"35,744"
Mason city, Ohio,"34,804"
Springville city, Utah,"35,272"
Watertown city, Massachusetts,"35,338"
Texarkana city, Texas,"36,243"
Dunedin city, Florida,"36,088"
Stockbridge city, Georgia,"35,668"
Addison village, Illinois,"35,696"
Torrington city, Connecticut,"35,503"
Roseville city, Minnesota,"36,270"
Moorpark city, California,"36,290"
Marion city, Ohio,"36,053"
Richmond city, Indiana,"35,754"
Gahanna city, Ohio,"35,727"
Cooper City city, Florida,"34,398"
Washington city, Utah,"27,996"
Butte-Silver Bow (balance), Montana,"34,494"
San Juan Capistrano city, California,"35,197"
Wenatchee city, Washington,"35,626"
Kingman city, Arizona,"32,689"
Mount Vernon city, Washington,"35,234"
Harker Heights city, Texas,"33,090"
McMinnville city, Oregon,"34,349"
Englewood city, Colorado,"33,639"
Statesboro city, Georgia,"33,427"
Brunswick city, Ohio,"35,407"
University Place city, Washington,"34,872"
Randolph Town city, Massachusetts,"35,028"
Fairborn city, Ohio,"34,524"
Crown Point city, Indiana,"33,899"
Wildwood city, Missouri,"35,418"
Valparaiso city, Indiana,"34,161"
Holland city, Michigan,"34,374"
Opelika city, Alabama,"31,005"
Temple City city, California,"36,460"
Dalton city, Georgia,"34,461"
Calumet City city, Illinois,"36,043"
Clearfield city, Utah,"31,902"
Long Beach city, New York,"35,046"
Kearney city, Nebraska,"33,800"
Helena city, Montana,"32,112"
Lewiston city, Idaho,"34,210"
Lima city, Ohio,"35,531"
Del Rio city, Texas,"34,715"
College Park city, Maryland,"34,759"
Goldsboro city, North Carolina,"34,255"
Manitowoc city, Wisconsin,"34,646"
Elizabethtown city, Kentucky,"31,392"
Northbrook village, Illinois,"35,266"
Deer Park city, Texas,"34,500"
Alabaster city, Alabama,"33,342"
Goshen city, Indiana,"34,514"
Leland town, North Carolina,"23,377"
Waukee city, Iowa,"23,949"
Lufkin city, Texas,"34,173"
West Hollywood city, California,"35,810"
Cornelius town, North Carolina,"31,419"
Fitchburg city, Wisconsin,"30,983"
Greenville city, Texas,"28,147"
University City city, Missouri,"35,232"
Westlake city, Ohio,"34,238"
New Bern city, North Carolina,"31,317"
Pleasant Hill city, California,"34,611"
Woodridge village, Illinois,"34,153"
Stow city, Ohio,"34,490"
Petersburg city, Virginia,"33,465"
Chester city, Pennsylvania,"32,724"
Oak Ridge city, Tennessee,"31,406"
SeaTac city, Washington,"31,439"
Leawood city, Kansas,"33,896"
Eastpointe city, Michigan,"34,329"
Desert Hot Springs city, California,"32,532"
Dover city, New Hampshire,"32,749"
Walla Walla city, Washington,"34,275"
Gillette city, Wyoming,"33,423"
Ithaca city, New York,"32,107"
Florence city, Kentucky,"31,985"
Franklin Town city, Massachusetts,"33,271"
Spring Valley village, New York,"33,066"
Salisbury city, Maryland,"32,984"
Rochester city, New Hampshire,"32,496"
LaGrange city, Georgia,"30,879"
Meridian city, Mississippi,"35,053"
Pullman city, Washington,"32,905"
Garfield city, New Jersey,"32,651"
St. Charles city, Illinois,"33,126"
Nicholasville city, Kentucky,"31,108"
Manhattan Beach city, California,"35,499"
Eagle city, Idaho,"31,141"
Brownsburg town, Indiana,"29,013"
Andover city, Minnesota,"32,598"
Sherwood city, Arkansas,"32,759"
Bella Vista city, Arkansas,"30,082"
Kaysville city, Utah,"32,971"
Miami Lakes town, Florida,"30,460"
San Dimas city, California,"34,908"
Long Branch city, New Jersey,"31,660"
Des Moines city, Washington,"32,915"
Zionsville town, Indiana,"30,602"
Duluth city, Georgia,"31,954"
New Smyrna Beach city, Florida,"30,254"
Gadsden city, Alabama,"33,911"
Dania Beach city, Florida,"31,774"
Menlo Park city, California,"33,782"
Sachse city, Texas,"27,111"
Morristown city, Tennessee,"30,446"
Sanford city, North Carolina,"30,197"
Laramie city, Wyoming,"31,413"
Los Gatos town, California,"33,542"
Savage city, Minnesota,"32,453"
Glendale Heights village, Illinois,"33,179"
McDonough city, Georgia,"29,085"
Massillon city, Ohio,"32,039"
Aiken city, South Carolina,"32,126"
Foster City city, California,"33,809"
Mundelein village, Illinois,"31,576"
Morrisville town, North Carolina,"29,811"
Goleta city, California,"32,692"
Athens city, Alabama,"25,434"
Dana Point city, California,"33,108"
Bangor city, Maine,"31,740"
Cottonwood Heights city, Utah,"33,612"
Nacogdoches city, Texas,"32,153"
Bethel Park municipality, Pennsylvania,"33,565"
Maryville city, Tennessee,"31,920"
Chamblee city, Georgia,"30,150"
Poughkeepsie city, New York,"31,593"
Atwater city, California,"31,975"
O'Fallon city, Illinois,"32,432"
West Bend city, Wisconsin,"31,746"
Naugatuck borough, Connecticut,"31,581"
Shawnee city, Oklahoma,"31,274"
Bay City city, Michigan,"32,666"
Westfield town, New Jersey,"31,039"
Matthews town, North Carolina,"29,427"
Wheat Ridge city, Colorado,"32,401"
Carlsbad city, New Mexico,"32,216"
Rome city, New York,"32,125"
Anna city, Texas,"17,073"
Bell city, California,"33,561"
Banning city, California,"29,515"
Lawrenceville city, Georgia,"30,634"
Elk Grove Village village, Illinois,"32,821"
Santa Paula city, California,"30,680"
Brooklyn Center city, Minnesota,"33,782"
Fairbanks city, Alaska,"32,518"
Clayton town, North Carolina,"26,321"
Bixby city, Oklahoma,"28,595"
Statesville city, North Carolina,"28,463"
North Olmsted city, Ohio,"32,439"
Houma city, Louisiana,"33,411"
Alamogordo city, New Mexico,"30,933"
Casselberry city, Florida,"28,775"
Juneau city and borough, Alaska,"32,250"
El Paso de Robles (Paso Robles) city, California,"31,497"
San Pablo city, California,"32,125"
Seaside city, California,"32,381"
Southlake city, Texas,"31,268"
Northport city, Alabama,"31,198"
Michigan City city, Indiana,"32,070"
Princeton, New Jersey,"30,689"
Rockledge city, Florida,"27,683"
Converse city, Texas,"27,712"
Magna metro township, Utah,"29,251"
West Melbourne city, Florida,"25,934"
Harrison village, New York,"28,207"
Northampton city, Massachusetts,"29,567"
Kalispell city, Montana,"25,078"
Pekin city, Illinois,"31,890"
Liberty city, Missouri,"30,158"
North Attleborough Town city, Massachusetts,"30,823"
Pooler city, Georgia,"25,611"
Ballwin city, Missouri,"31,694"
Beverly Hills city, California,"32,699"
Port Chester village, New York,"31,747"
Anderson city, South Carolina,"29,441"
Jackson city, Michigan,"31,314"
North Royalton city, Ohio,"31,328"
Burlingame city, California,"31,385"
Los Altos city, California,"31,466"
Winter Park city, Florida,"29,805"
Hopkinsville city, Kentucky,"31,169"
Highland Park city, Illinois,"30,188"
Rahway city, New Jersey,"29,550"
Daphne city, Alabama,"27,472"
Enterprise city, Alabama,"28,700"
Crestview city, Florida,"27,426"
Paragould city, Arkansas,"29,551"
Fridley city, Minnesota,"29,580"
North Chicago city, Illinois,"30,762"
Holladay city, Utah,"31,960"
Lafayette city, Colorado,"30,377"
Rosemount city, Minnesota,"25,648"
Gurnee village, Illinois,"30,716"
Algonquin village, Illinois,"29,708"
Newark city, Delaware,"30,621"
Gloucester city, Massachusetts,"29,736"
Morgantown city, West Virginia,"30,068"
Saratoga city, California,"31,045"
Bowling Green city, Ohio,"30,800"
Woodburn city, Oregon,"26,093"
Oakdale city, Minnesota,"28,298"
Easton city, Pennsylvania,"28,127"
Laguna Hills city, California,"31,367"
Hazleton city, Pennsylvania,"29,939"
Laurel city, Maryland,"30,067"
Englewood city, New Jersey,"29,309"
Independence city, Kentucky,"28,690"
La Verne city, California,"31,589"
Middletown city, New York,"30,361"
Chaska city, Minnesota,"27,807"
Central city, Louisiana,"29,569"
Lawndale city, California,"31,821"
Fredericksburg city, Virginia,"27,976"
North Tonawanda city, New York,"30,495"
Melrose city, Massachusetts,"29,821"
Niles village, Illinois,"30,905"
Venice city, Florida,"25,466"
Alvin city, Texas,"27,057"
Schererville town, Indiana,"29,660"
Mauldin city, South Carolina,"24,755"
Atascadero city, California,"29,777"
Conway city, South Carolina,"25,035"
Suisun City city, California,"29,517"
Fountain city, Colorado,"29,801"
Russellville city, Arkansas,"28,931"
Burton city, Michigan,"29,709"
Hobart city, Indiana,"29,741"
San Carlos city, California,"30,734"
Oak Park city, Michigan,"29,570"
Jeffersontown city, Kentucky,"29,322"
Kirkwood city, Missouri,"29,469"
East Palo Alto city, California,"30,035"
Galesburg city, Illinois,"30,042"
Marysville city, Ohio,"25,585"
Raytown city, Missouri,"30,013"
Bridgewater Town city, Massachusetts,"28,627"
Jacksonville city, Arkansas,"29,483"
Kuna city, Idaho,"24,080"
Southgate city, Michigan,"30,015"
West Springfield Town city, Massachusetts,"28,832"
Monterey city, California,"30,226"
Garfield Heights city, Ohio,"29,791"
Ramsey city, Minnesota,"27,636"
Happy Valley city, Oregon,"23,799"
Bergenfield borough, New Jersey,"28,340"
Texarkana city, Arkansas,"29,391"
Glen Ellyn village, Illinois,"28,997"
Parkersburg city, West Virginia,"29,749"
McHenry city, Illinois,"27,323"
Mint Hill town, North Carolina,"26,449"
Williston city, North Dakota,"29,169"
Eagle Pass city, Texas,"28,152"
Kernersville town, North Carolina,"26,521"
Agawam Town city, Massachusetts,"28,692"
Saratoga Springs city, New York,"28,511"
Lake in the Hills village, Illinois,"28,984"
Shaker Heights city, Ohio,"29,448"
Madison Heights city, Michigan,"28,466"
Frankfort city, Kentucky,"28,609"
Burbank city, Illinois,"29,461"
Sugar Hill city, Georgia,"25,075"
Maple Valley city, Washington,"28,010"
Palm Springs village, Florida,"26,868"
Huntley village, Illinois,"27,746"
New Lenox village, Illinois,"27,206"
Pearl city, Mississippi,"27,061"
Slidell city, Louisiana,"28,688"
Ridgecrest city, California,"27,960"
Port Huron city, Michigan,"28,974"
Carrollton city, Georgia,"26,798"
Marion city, Indiana,"28,321"
Madison city, Mississippi,"27,749"
Union City city, Georgia,"26,858"
Fremont city, Nebraska,"27,135"
Brawley city, California,"26,521"
Mount Pleasant village, Wisconsin,"27,725"
Newburgh city, New York,"28,864"
Lake Jackson city, Texas,"28,182"
Lansing village, Illinois,"29,079"
Glen Cove city, New York,"28,372"
New London city, Connecticut,"27,371"
Simpsonville city, South Carolina,"23,385"
Foley city, Alabama,"20,622"
Tualatin city, Oregon,"27,947"
Prior Lake city, Minnesota,"27,613"
Garden City city, Kansas,"28,151"
Danville city, Illinois,"29,204"
Monroeville municipality, Pennsylvania,"28,646"
Asheboro city, North Carolina,"27,195"
Homewood city, Alabama,"26,419"
Aberdeen city, South Dakota,"28,495"
Wilsonville city, Oregon,"26,697"
Marshalltown city, Iowa,"27,592"
Jenks city, Oklahoma,"25,946"
Lemon Grove city, California,"27,781"
Bristol city, Tennessee,"27,133"
Millville city, New Jersey,"27,495"
Tumwater city, Washington,"26,044"
Winchester city, Virginia,"28,115"
Henderson city, Kentucky,"28,200"
Katy city, Texas,"21,859"
Bridgeton city, New Jersey,"27,275"
Kent city, Ohio,"28,207"
Jamestown city, New York,"28,704"
Maryland Heights city, Missouri,"28,300"
Dodge City city, Kansas,"27,797"
Williamsport city, Pennsylvania,"27,770"
Elk River city, Minnesota,"25,839"
Thomasville city, North Carolina,"27,126"
Allen Park city, Michigan,"28,640"
Temple Terrace city, Florida,"26,721"
Gladstone city, Missouri,"27,066"
Cabot city, Arkansas,"26,572"
Neenah city, Wisconsin,"27,330"
Green city, Ohio,"27,481"
Fate city, Texas,"17,976"
Wilmette village, Illinois,"28,173"
Hamtramck city, Michigan,"28,435"
Wasco city, California,"27,053"
Camas city, Washington,"26,107"
Balch Springs city, Texas,"27,707"
Walnut city, California,"28,438"
Lindenhurst village, New York,"27,146"
Newberg city, Oregon,"25,449"
Belmont city, California,"28,335"
Troy city, Ohio,"26,337"
Round Lake Beach village, Illinois,"27,262"
Sebastian city, Florida,"25,034"
Trussville city, Alabama,"26,127"
Forest Grove city, Oregon,"26,214"
Yukon city, Oklahoma,"23,640"
Lemoore city, California,"27,061"
Greenville city, Mississippi,"29,700"
Vernon Hills village, Illinois,"26,858"
Easley city, South Carolina,"22,961"
South Portland city, Maine,"26,500"
Wooster city, Ohio,"27,246"
Moses Lake city, Washington,"25,355"
Mason City city, Iowa,"27,351"
Shoreview city, Minnesota,"26,931"
Lockport city, Illinois,"26,096"
Ossining village, New York,"27,533"
Moscow city, Idaho,"25,456"
Granite City city, Illinois,"27,566"
New Iberia city, Louisiana,"28,519"
Oak Forest city, Illinois,"27,475"
Oxford city, Mississippi,"25,427"
Paramus borough, New Jersey,"26,692"
Edwardsville city, Illinois,"26,845"
Paducah city, Kentucky,"27,130"
Ridgewood village, New Jersey,"25,975"
Austin city, Minnesota,"26,183"
Sanger city, California,"26,780"
Grandview city, Missouri,"26,199"
Owatonna city, Minnesota,"26,424"
Superior city, Wisconsin,"26,748"
Clinton city, Mississippi,"28,092"
Derby city, Kansas,"25,660"
West Linn city, Oregon,"27,373"
Galt city, California,"25,643"
Horn Lake city, Mississippi,"26,733"
Twentynine Palms city, California,"28,065"
South Salt Lake city, Utah,"26,765"
Batavia city, Illinois,"26,505"
Chicago Heights city, Illinois,"27,480"
Hercules city, California,"26,019"
Benicia city, California,"27,135"
Stevens Point city, Wisconsin,"25,681"
Lebanon city, Pennsylvania,"26,808"
Denison city, Texas,"24,459"
Plum borough, Pennsylvania,"27,161"
Garden City city, Michigan,"27,388"
El Cerrito city, California,"25,957"
North Augusta city, South Carolina,"24,430"
Royse City city, Texas,"13,561"
Staunton city, Virginia,"25,751"
Lodi borough, New Jersey,"26,200"
Nixa city, Missouri,"23,264"
Soledad city, California,"26,918"
Avon Lake city, Ohio,"25,202"
Fairfax city, Virginia,"24,147"
Centerville city, Ohio,"24,194"
Greenfield city, Indiana,"23,461"
Elmira city, New York,"26,516"
Melissa city, Texas,"13,901"
Cliffside Park borough, New Jersey,"25,703"
Winona city, Minnesota,"26,001"
Tarpon Springs city, Florida,"25,140"
Farmington city, Utah,"24,527"
Norfolk city, Nebraska,"25,908"
Franklin city, Indiana,"25,333"
Reedley city, California,"25,220"
Saginaw city, Texas,"23,903"
Xenia city, Ohio,"25,435"
Wheeling city, West Virginia,"26,986"
Auburn Hills city, Michigan,"24,365"
Fairhope city, Alabama,"22,469"
Colleyville city, Texas,"26,051"
Carteret borough, New Jersey,"25,330"
Yorkville city, Illinois,"21,617"
Auburn city, New York,"26,876"
Raymore city, Missouri,"22,925"
Walker city, Michigan,"25,138"
Salem city, Virginia,"25,341"
Woodstock city, Illinois,"25,676"
Brandon city, Mississippi,"25,097"
Belton city, Missouri,"23,980"
Windsor town, California,"26,362"
Starkville city, Mississippi,"25,726"
Gardner city, Kansas,"23,345"
Dinuba city, California,"24,615"
Pickerington city, Ohio,"23,079"
Shelbyville city, Tennessee,"23,582"
East Chicago city, Indiana,"26,380"
Muskego city, Wisconsin,"25,039"
Peekskill city, New York,"25,442"
Medina city, Ohio,"26,079"
Chanhassen city, Minnesota,"25,950"
Centerton city, Arkansas,"17,870"
Rockville Centre village, New York,"26,005"
Dickinson city, North Dakota,"25,675"
Middletown town, Delaware,"23,201"
South Pasadena city, California,"26,932"
Ottumwa city, Iowa,"25,545"
Belton city, Texas,"23,041"
Riverbank city, California,"24,946"
Corsicana city, Texas,"25,117"
Avon city, Ohio,"24,844"
Imperial Beach city, California,"26,129"
Fernley city, Nevada,"22,896"
Patterson city, California,"23,790"
West Chicago city, Illinois,"25,624"
De Pere city, Wisconsin,"25,412"
Eureka city, California,"26,539"
Palmetto Bay village, Florida,"24,445"
Norco city, California,"26,299"
Pelham city, Alabama,"24,164"
Lafayette city, California,"25,392"
Lexington town, South Carolina,"23,553"
Mequon city, Wisconsin,"25,147"
Belvidere city, Illinois,"25,333"
Perrysburg city, Ohio,"25,034"
Mercer Island city, Washington,"25,754"
University Park city, Texas,"25,279"
Papillion city, Nebraska,"25,345"
Farragut town, Tennessee,"23,508"
Key West city, Florida,"26,437"
Caledonia village, Wisconsin,"25,354"
Auburn city, Maine,"24,067"
Mountlake Terrace city, Washington,"21,290"
