City,State,Population
Mesquite city, Texas,"150,232"
Pasadena city, Texas,"151,973"
Olathe city, Kansas,"141,290"
Escondido city, California,"151,100"
Savannah city, Georgia,"147,802"
McAllen city, Texas,"142,188"
Gainesville city, Florida,"141,149"
Pomona city, California,"151,478"
Rockford city, Illinois,"148,946"
Thornton city, Colorado,"141,865"
Waco city, Texas,"140,122"
Visalia city, California,"141,590"
Syracuse city, New York,"148,611"
Columbia city, South Carolina,"136,805"
Midland city, Texas,"132,874"
Miramar city, Florida,"134,713"
Palm Bay city, Florida,"119,751"
Jackson city, Mississippi,"153,703"
Coral Springs city, Florida,"134,403"
Victorville city, California,"134,821"
Elizabeth city, New Jersey,"137,310"
Fullerton city, California,"143,645"
Meridian city, Idaho,"117,794"
Torrance city, California,"146,946"
Stamford city, Connecticut,"135,453"
West Valley City city, Utah,"140,238"
Orange city, California,"139,930"
Cedar Rapids city, Iowa,"137,732"
Warren city, Michigan,"139,395"
Hampton city, Virginia,"137,154"
New Haven city, Connecticut,"133,986"
Pasadena city, California,"139,622"
Kent city, Washington,"136,608"
Dayton city, Ohio,"137,677"
Fargo city, North Dakota,"125,949"
Lewisville city, Texas,"125,674"
Carrollton city, Texas,"133,440"
Round Rock city, Texas,"119,529"
Sterling Heights city, Michigan,"134,340"
Santa Clara city, California,"127,863"
Norman city, Oklahoma,"127,997"
Columbia city, Missouri,"126,055"
Abilene city, Texas,"125,004"
Pearland city, Texas,"125,824"
Athens-Clarke County unified government (balance), Georgia,"127,353"
College Station city, Texas,"120,523"
Clovis city, California,"120,165"
West Palm Beach city, Florida,"117,321"
Allentown city, Pennsylvania,"125,855"
North Charleston city, South Carolina,"114,885"
Simi Valley city, California,"126,369"
Topeka city, Kansas,"126,600"
Wilmington city, North Carolina,"115,459"
Lakeland city, Florida,"112,614"
Thousand Oaks city, California,"126,954"
Concord city, California,"125,410"
Rochester city, Minnesota,"121,391"
Vallejo city, California,"126,082"
Ann Arbor city, Michigan,"123,892"
Broken Arrow city, Oklahoma,"113,577"
Fairfield city, California,"119,927"
Lafayette city, Louisiana,"121,391"
Hartford city, Connecticut,"121,631"
Arvada city, Colorado,"124,354"
Berkeley city, California,"124,320"
Independence city, Missouri,"122,926"
Billings city, Montana,"117,159"
Cambridge city, Massachusetts,"118,379"
Lowell city, Massachusetts,"115,560"
Odessa city, Texas,"114,451"
High Point city, North Carolina,"114,115"
League City city, Texas,"114,344"
Antioch city, California,"115,304"
Richardson city, Texas,"119,465"
Goodyear city, Arizona,"96,165"
Pompano Beach city, Florida,"112,057"
Nampa city, Idaho,"100,428"
Menifee city, California,"102,523"
Las Cruces city, New Mexico,"111,400"
Clearwater city, Florida,"117,435"
West Jordan city, Utah,"116,961"
New Braunfels city, Texas,"90,441"
Manchester city, New Hampshire,"115,653"
Miami Gardens city, Florida,"111,598"
Waterbury city, Connecticut,"114,457"
Provo city, Utah,"115,178"
Evansville city, Indiana,"117,293"
Richmond city, California,"116,303"
Westminster city, Colorado,"116,654"
Elgin city, Illinois,"114,834"
Conroe city, Texas,"89,973"
Greeley city, Colorado,"108,809"
Lansing city, Michigan,"112,642"
Buckeye city, Arizona,"91,526"
Tuscaloosa city, Alabama,"100,987"
Allen city, Texas,"104,648"
Carlsbad city, California,"114,733"
Everett city, Washington,"110,600"
Springfield city, Illinois,"114,506"
Beaumont city, Texas,"115,149"
Murrieta city, California,"110,955"
